REFERENCE_ARMED              LOSES TO SPINNER1    W/L/D 0/4/0  
bulwark_v1                   BEATS SPINNER1       W/L/D 8/0/0  
bulwark_v1_rerun             BEATS SPINNER1       W/L/D 8/0/0  
abl_norotor                  BEATS SPINNER1       W/L/D 5/3/0  
abl_noengine                 BEATS SPINNER1       W/L/D 6/2/0  
abl_alurotor                 BEATS SPINNER1       W/L/D 8/0/0  
abl_min                      BEATS SPINNER1       W/L/D 8/0/0  
abl_min_rerun                BEATS SPINNER1       W/L/D 7/1/0  
abl_min_nogusset             BEATS SPINNER1       W/L/D 7/1/0  
